task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,26.75,-22.3
xor_quadrant,51.0,0.0,-51.0
diagonal,48.75,25.3,-23.45
vertical,50.65,28.45,-22.2
circle,0.0,0.0,0.0
