,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,98.3,92.05,75.85,50.3,71.55
xor_quadrant,,52.25,51.65,49.0,71.25
diagonal,,,95.7,75.25,70.4
vertical,,,,98.9,70.45
circle,,,,,59.85
