,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.6,99.6,99.6,99.6,99.6
vertical,,99.7,99.7,99.7,99.7
circle,,,97.75,97.75,97.75
diagonal,,,,95.05,95.05
xor_quadrant,,,,,97.55
