,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.85,49.05,50.5,75.8,49.65
vertical,,99.6,50.55,73.65,50.4
circle,,,98.7,50.1,51.05
diagonal,,,,98.7,48.95
xor_quadrant,,,,,98.25
