task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,33.2,-15.85
xor_quadrant,51.0,0.0,-51.0
diagonal,48.75,26.2,-22.55
vertical,50.65,29.55,-21.1
circle,0.0,0.0,0.0
