,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,97.45,92.1,76.15,50.45,50.85
xor_quadrant,,48.15,49.1,49.1,50.5
diagonal,,,97.1,75.9,49.5
vertical,,,,98.95,50.45
circle,,,,,75.5
