task,initial_accuracy,best_accuracy,final_accuracy,forgetting
horizontal,97.45,97.45,50.85,46.6
xor_quadrant,48.15,50.5,50.5,0.0
diagonal,97.1,97.1,49.5,47.6
vertical,98.95,98.95,50.45,48.5
circle,75.5,75.5,75.5,0.0
