task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.20296,92.52,0.777
horizontal,1,2,0.04593,98.66,0.346
horizontal,1,3,0.028,99.09,0.414
horizontal,1,4,0.03239,98.82,0.448
horizontal,1,5,0.01361,99.6,0.516
vertical,2,1,0.57966,83.6,0.404
vertical,2,2,0.03406,99.12,0.367
vertical,2,3,0.02201,99.4,0.366
vertical,2,4,0.01603,99.52,0.376
vertical,2,5,0.01476,99.51,0.368
circle,3,1,0.86319,69.08,0.361
circle,3,2,0.2709,90.58,0.354
circle,3,3,0.10398,96.61,0.353
circle,3,4,0.06513,97.61,0.358
circle,3,5,0.05826,97.78,0.384
diagonal,4,1,0.28433,90.59,0.366
diagonal,4,2,0.06724,97.65,0.425
diagonal,4,3,0.03828,98.76,0.41
diagonal,4,4,0.03984,98.58,0.416
diagonal,4,5,0.0485,98.48,0.435
xor_quadrant,5,1,0.8547,70.25,0.437
xor_quadrant,5,2,0.17359,95.61,0.409
xor_quadrant,5,3,0.05095,98.43,0.393
xor_quadrant,5,4,0.04619,98.44,0.389
xor_quadrant,5,5,0.04272,98.55,0.387
