,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,98.2,51.0,48.3,75.4,51.9
vertical,,99.8,50.2,75.6,52.8
circle,,,97.3,49.6,48.6
diagonal,,,,98.65,53.35
xor_quadrant,,,,,99.15
