task,forgetting_phase1,forgetting_phase2,delta
diagonal,49.05,46.05,-3.0
horizontal,51.0,40.35,-10.65
vertical,48.75,31.6,-17.15
xor_quadrant,50.65,16.0,-34.65
circle,0.0,0.0,0.0
