,after_t1,after_t2,after_t3,after_t4,after_t5
diagonal,97.35,75.65,95.5,78.3,51.3
horizontal,,98.9,72.75,63.85,58.55
vertical,,,76.55,80.85,49.25
xor_quadrant,,,,65.6,49.6
circle,,,,,82.0
