,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.5,49.05,49.35,75.6,50.25
vertical,,99.75,50.15,73.6,49.15
circle,,,97.95,49.0,49.65
diagonal,,,,98.55,49.1
xor_quadrant,,,,,97.85
