task,forgetting_phase1,forgetting_phase2,delta
circle,49.05,25.2,-23.85
vertical,51.0,47.4,-3.6
xor_quadrant,48.75,8.85,-39.9
diagonal,50.65,20.85,-29.8
horizontal,0.0,0.0,0.0
