task,phase,epoch,train_loss,train_accuracy,epoch_seconds
circle,1,1,0.62181,73.52,2.069
circle,1,2,0.55923,76.56,1.22
circle,1,3,0.54934,76.56,1.173
circle,1,4,0.54634,76.56,1.17
circle,1,5,0.54436,76.56,1.192
vertical,2,1,0.76423,49.77,1.254
vertical,2,2,0.66729,54.08,1.24
vertical,2,3,0.61301,91.81,1.293
vertical,2,4,0.54898,94.92,1.33
vertical,2,5,0.46359,95.92,1.416
xor_quadrant,3,1,0.74179,51.37,1.283
xor_quadrant,3,2,0.70793,49.47,1.252
xor_quadrant,3,3,0.68733,49.5,1.236
xor_quadrant,3,4,0.66771,51.68,1.256
xor_quadrant,3,5,0.64423,56.66,1.236
diagonal,4,1,0.55855,82.19,1.339
diagonal,4,2,0.45962,88.88,1.308
diagonal,4,3,0.37111,91.21,1.378
diagonal,4,4,0.2952,93.42,1.675
diagonal,4,5,0.2317,94.66,2.115
horizontal,5,1,0.36522,82.81,1.885
horizontal,5,2,0.21567,91.6,1.5
horizontal,5,3,0.12665,96.31,1.385
horizontal,5,4,0.07602,98.84,1.322
horizontal,5,5,0.052,99.54,1.369
