task,forgetting_phase1,forgetting_phase2,delta
vertical,49.05,46.9,-2.15
xor_quadrant,51.0,12.3,-38.7
diagonal,48.75,19.2,-29.55
circle,50.65,25.2,-25.45
horizontal,0.0,0.0,0.0
