,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.65,50.9,50.05,75.4,49.35
vertical,,99.8,50.85,75.4,49.05
circle,,,98.75,53.3,50.95
diagonal,,,,98.4,50.85
xor_quadrant,,,,,99.65
