,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.85,49.0,50.25,73.3,48.85
vertical,,99.75,51.7,75.95,49.6
circle,,,98.6,50.35,50.5
diagonal,,,,97.85,50.5
xor_quadrant,,,,,99.3
