task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,39.0,-10.05
vertical,51.0,46.45,-4.55
circle,48.75,55.85,7.1
diagonal,50.65,43.65,-7.0
xor_quadrant,0.0,0.0,0.0
