,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.65,49.3,49.4,74.5,60.65
vertical,,99.65,50.85,74.75,53.2
circle,,,94.55,50.35,38.7
diagonal,,,,99.5,55.85
xor_quadrant,,,,,81.05
