task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.59029,84.18,1.268
horizontal,1,2,0.24769,98.65,0.834
horizontal,1,3,0.08773,99.39,0.906
horizontal,1,4,0.04851,99.52,0.87
horizontal,1,5,0.03301,99.5,0.825
vertical,2,1,0.92797,70.9,0.938
vertical,2,2,0.17183,94.87,0.834
vertical,2,3,0.07928,98.16,0.787
vertical,2,4,0.04767,99.06,1.012
vertical,2,5,0.03246,99.61,0.865
circle,3,1,1.04362,61.37,0.862
circle,3,2,0.45086,75.79,0.838
circle,3,3,0.38584,81.44,0.866
circle,3,4,0.32674,84.52,0.869
circle,3,5,0.24535,90.09,0.9
diagonal,4,1,0.31532,88.62,0.833
diagonal,4,2,0.09573,97.11,0.818
diagonal,4,3,0.0683,97.91,0.855
diagonal,4,4,0.05299,98.4,0.876
diagonal,4,5,0.04043,99.02,0.834
xor_quadrant,5,1,1.17155,66.57,0.858
xor_quadrant,5,2,0.58985,68.04,0.873
xor_quadrant,5,3,0.56748,68.58,0.836
xor_quadrant,5,4,0.54062,69.0,0.814
xor_quadrant,5,5,0.48672,72.4,0.846
