task,initial_accuracy,best_accuracy,final_accuracy,forgetting
horizontal,99.45,99.45,49.15,50.3
xor_quadrant,98.5,98.5,48.85,49.65
circle,98.25,98.25,48.85,49.4
diagonal,98.0,98.0,74.1,23.9
vertical,99.95,99.95,99.95,0.0
