task,forgetting_phase1,forgetting_phase2,delta
vertical,49.05,49.5,0.45
xor_quadrant,51.0,13.8,-37.2
diagonal,48.75,20.7,-28.05
circle,50.65,16.55,-34.1
horizontal,0.0,0.0,0.0
