phase,batch,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9,hmem_mean,hmem_std,hmem_min,hmem_max,corr_hmem_mask,corr_hmem_dw
1,0,0.020684022456407547,0.010616838000714779,0.016423586755990982,0.4533770978450775,0.9980868697166443,0.0,1.0,2.32423996925354,2.665121456857378e-10,84.19336700439453,0.7632769346237183,0.7620118260383606
1,78,0.01918867789208889,0.009391055442392826,5.517228782991879e-05,0.43855389952659607,0.998144805431366,0.0,1.0,2.219487190246582,4.6186118818347666e-10,100.26284790039062,0.6577181816101074,-0.030929092317819595
1,0,0.019450794905424118,0.009367207996547222,5.742651774198748e-05,0.4396825432777405,0.998144805431366,0.0,1.0,2.147540807723999,1.4315073570969616e-09,89.4444808959961,0.6462153792381287,0.13027364015579224
1,78,0.01804330386221409,0.008987498469650745,5.4864729463588446e-05,0.4334716200828552,0.998144805431366,0.0,1.0,2.1313579082489014,7.617189656805579e-10,81.10762023925781,0.6484508514404297,0.06047310680150986
1,0,0.02105347439646721,0.009744898416101933,7.913653098512441e-05,0.4455515742301941,0.998144805431366,0.0,0.9999998807907104,2.0410454273223877,2.065987159127758e-09,78.72662353515625,0.5919421911239624,0.3161919414997101
1,78,0.02623078227043152,0.011445033363997936,8.338726911460981e-05,0.46183380484580994,0.998144805431366,0.0,1.0,1.973872423171997,1.0551250984036642e-09,89.48331451416016,0.6115594506263733,0.023950321599841118
1,0,0.01834767684340477,0.008504512719810009,6.361530540743843e-05,0.42503976821899414,0.9982028007507324,0.0,1.0,1.948664665222168,6.210911229764804e-10,60.44578552246094,0.5288150906562805,0.0831637978553772
1,78,0.0176337119191885,0.008276121690869331,5.795781180495396e-05,0.422944039106369,0.998376727104187,0.0,1.0,1.783112645149231,6.964689269750579e-09,67.0381851196289,0.4642540514469147,-0.004363758955150843
1,0,0.01938844472169876,0.009056094102561474,6.407833279808983e-05,0.4412298798561096,0.9982607960700989,0.0,1.0,1.805969476699829,5.934505664662026e-11,50.794654846191406,0.5371809005737305,-0.03204390034079552
1,78,0.01574074663221836,0.007572852540761232,4.882936991634779e-05,0.4107709527015686,0.998376727104187,0.0,1.0,1.706217646598816,1.1513986208910865e-08,42.844844818115234,0.5022866725921631,0.14883844554424286
2,0,0.014087223447859287,0.00875807460397482,0.0005248609813861549,0.3670576214790344,0.998376727104187,0.0,1.0,1.9152765274047852,1.4665809677794073e-09,43.23424530029297,0.04576591029763222,-0.20132364332675934
2,78,0.018364204093813896,0.01051222626119852,0.00020397176558617502,0.43400803208351135,0.9982028007507324,0.0,0.9999998807907104,1.738083004951477,8.626586667226377e-10,40.635074615478516,0.0352327935397625,-0.09998344630002975
2,0,0.013527071103453636,0.0077001797035336494,0.0001569024461787194,0.2474270462989807,0.9987245798110962,0.0,1.0,1.761573076248169,2.139751487106878e-09,37.32002639770508,0.06538502126932144,0.03942904993891716
2,78,0.014597105793654919,0.008311931975185871,0.00015009351773187518,0.36009979248046875,0.9986085891723633,0.0,1.0,1.707584261894226,1.158656637301192e-08,45.95681381225586,0.08147074282169342,-0.030202632769942284
2,0,0.013247405178844929,0.007289520930498838,0.00011151902435813099,0.2543390393257141,0.9987825155258179,0.0,1.0,1.6679877042770386,1.518548486956206e-08,38.50834274291992,0.07073110342025757,0.031945087015628815
2,78,0.012385816313326359,0.0069388593547046185,9.192997094942257e-05,0.3329673707485199,0.9988985061645508,0.0,1.0,1.5999153852462769,2.36334884995415e-09,33.810245513916016,0.011389736086130142,-0.08048735558986664
2,0,0.015259156934916973,0.008349589072167873,0.00010829258098965511,0.3450395166873932,0.9986665844917297,0.0,1.0,1.5912501811981201,5.991524498760725e-10,39.65964889526367,0.08095847070217133,-0.019000805914402008
2,78,0.019654136151075363,0.010253877379000187,0.00013923534424975514,0.41715192794799805,0.9984926581382751,0.0,0.9999998807907104,1.5854358673095703,2.889470662736926e-09,40.40550231933594,0.02119331993162632,-0.1328589916229248
2,0,0.015648480504751205,0.008467037230730057,0.00010717772238422185,0.32973378896713257,0.9985506534576416,0.0,1.0,1.6582821607589722,1.4718722241013893e-08,54.40684509277344,0.13938352465629578,-0.009545069187879562
2,78,0.015711382031440735,0.008181695826351643,0.0001662672293605283,0.34257709980010986,0.9986665844917297,0.0,1.0,1.7035560607910156,8.180970567650547e-09,30.03189468383789,0.02950950339436531,-0.08817413449287415
3,0,0.011344686150550842,0.007449915632605553,0.0005118306144140661,0.27204903960227966,0.9982607960700989,0.0,1.0,1.7030625343322754,1.0238775161042213e-08,57.86158752441406,0.11627718806266785,-0.22866255044937134
3,78,0.012952945195138454,0.007554526440799236,0.0006602435605600476,0.3040677309036255,0.9984347224235535,0.0,1.0,1.736453652381897,4.193289715459514e-09,43.384864807128906,-0.023324329406023026,-0.10927601903676987
3,0,0.012648429721593857,0.007551436312496662,0.0006137017044238746,0.3468639552593231,0.9984926581382751,0.0,1.0,1.5862129926681519,1.95098781574643e-09,39.12834930419922,-0.028443023562431335,-0.15046478807926178
3,78,0.01134387869387865,0.006744454149156809,0.0005955529632046819,0.3315269947052002,0.9988405108451843,0.0,1.0,1.5841014385223389,1.4311843932190982e-09,35.977821350097656,0.0912465825676918,-0.09843998402357101
3,0,0.013130325824022293,0.007172564510256052,0.0006935406127013266,0.2779572904109955,0.9989564418792725,0.0,1.0,1.7475820779800415,3.735318276909538e-09,33.9933967590332,-0.11420441418886185,-0.22999034821987152
3,78,0.015870366245508194,0.008841008879244328,0.0009284954285249114,0.3676604628562927,0.9984347224235535,0.0,1.0000001192092896,1.6792713403701782,6.958932985412503e-09,39.99132537841797,0.051294174045324326,-0.24647659063339233
3,0,0.011418732814490795,0.006531147286295891,0.0006220935611054301,0.27456003427505493,0.999130368232727,0.0,1.0,1.7531909942626953,3.017519567549698e-09,31.86894989013672,-0.10515040904283524,-0.21441738307476044
3,78,0.018336189910769463,0.0098946001380682,0.0009202640503644943,0.3725017309188843,0.998376727104187,0.0,1.0,1.556933879852295,1.4738110287737527e-08,34.6884651184082,-0.03127037733793259,-0.20041245222091675
3,0,0.012533238157629967,0.0070661879144608974,0.0006850397330708802,0.26252809166908264,0.9987825155258179,0.0,1.0,1.6497629880905151,4.54066562127764e-09,31.058612823486328,-0.03831062838435173,-0.17566291987895966
3,78,0.013042767532169819,0.007320791482925415,0.0006353868520818651,0.30751892924308777,0.9986665844917297,0.0,1.0000001192092896,1.645761489868164,7.984672367733481e-10,23.918676376342773,-0.08734598755836487,-0.21510690450668335
4,0,0.01591561920940876,0.009546086192131042,0.0006529148668050766,0.36034953594207764,0.9982607960700989,0.0,1.0,1.4747196435928345,3.9360528170107045e-09,27.99242401123047,-0.05898778513073921,-0.3022969365119934
4,78,0.01395102683454752,0.00834670476615429,0.000723675184417516,0.35120153427124023,0.9982607960700989,0.0,1.0,1.6199406385421753,6.782665540328026e-09,48.96320724487305,0.09253130108118057,-0.1848095953464508
4,0,0.015219672583043575,0.008852077648043633,0.0007315946859307587,0.3272390067577362,0.9982607960700989,0.0,0.9999998807907104,1.582985281944275,7.042712524274464e-10,38.52943801879883,-0.030546890571713448,-0.24925340712070465
4,78,0.016207730397582054,0.009094924665987492,0.0008521182462573051,0.3791158199310303,0.9982607960700989,0.0,0.9999998807907104,1.7585924863815308,3.926808045395802e-10,31.485118865966797,-0.11348184943199158,-0.305713027715683
4,0,0.013329773209989071,0.007997248321771622,0.000755425076931715,0.3234233558177948,0.9982607960700989,0.0,1.0,1.7577749490737915,1.0145037032671667e-09,60.07548141479492,0.1847854107618332,-0.15905390679836273
4,78,0.017409905791282654,0.009577295742928982,0.0008278932655230165,0.37110304832458496,0.9982028007507324,0.0,1.0,1.6952463388442993,7.450344341464188e-09,29.669124603271484,-0.10242392867803574,-0.2688951790332794
4,0,0.01394300814718008,0.008093706332147121,0.0007560026133432984,0.322192519903183,0.9983187317848206,0.0,0.9999998807907104,1.6948457956314087,1.963080364930647e-09,46.981807708740234,0.09692050516605377,-0.17829671502113342
4,78,0.016649430617690086,0.008907455950975418,0.0008047574083320796,0.3493359386920929,0.9983187317848206,0.0,1.0,1.8072128295898438,7.888367181685396e-10,38.39100646972656,-0.1490239053964615,-0.2401105761528015
4,0,0.01392294280230999,0.0078039527870714664,0.0006061129970476031,0.32718536257743835,0.9984926581382751,0.0,1.0,1.6842396259307861,1.8449435312817286e-09,26.07400131225586,-0.03926254063844681,-0.1720229536294937
4,78,0.011423757299780846,0.00656463298946619,0.0004900478525087237,0.29807206988334656,0.9991883635520935,0.0,1.0,1.760055661201477,3.417310878717217e-10,31.820104598999023,-0.015344955958425999,-0.23708786070346832
5,0,0.009615727700293064,0.0071106781251728535,0.0004312224918976426,0.3285766839981079,0.9982028007507324,0.0,1.0,2.022453546524048,2.9349536134759546e-09,56.20252227783203,0.2408050149679184,-0.28856638073921204
5,78,0.008054113946855068,0.0050078085623681545,0.000355961499735713,0.22795358300209045,0.9995942115783691,0.0,1.0,1.7212958335876465,3.61238261525898e-10,39.76911926269531,0.04993061348795891,0.029610779136419296
5,0,0.01006656140089035,0.006447793450206518,0.00041977831278927624,0.27289044857025146,0.998376727104187,0.0,1.0,2.175727367401123,8.715843158313419e-09,77.32249450683594,0.37397104501724243,0.33515191078186035
5,78,0.010830903425812721,0.006267143413424492,0.00045465317089110613,0.2572436034679413,0.9987825155258179,0.0,1.0,1.8209322690963745,8.275964913373457e-10,63.712711334228516,0.25919726490974426,0.12268587946891785
5,0,0.010320235043764114,0.006038433872163296,0.00032510279561392963,0.20162491500377655,0.9987245798110962,0.0,1.0,1.8812272548675537,1.866407028927597e-09,55.62123489379883,0.21079634130001068,0.043372027575969696
