task,phase,epoch,train_loss,train_accuracy,epoch_seconds
xor_quadrant,1,1,0.69902,50.18,1.406
xor_quadrant,1,2,0.68368,55.84,1.153
xor_quadrant,1,3,0.67027,65.22,1.161
xor_quadrant,1,4,0.64836,66.5,1.096
xor_quadrant,1,5,0.61082,71.13,1.116
vertical,2,1,0.71163,57.04,1.179
vertical,2,2,0.5772,79.43,1.343
vertical,2,3,0.44639,89.63,1.201
vertical,2,4,0.32164,96.39,1.19
vertical,2,5,0.21693,98.3,1.222
horizontal,3,1,1.00038,52.6,1.216
horizontal,3,2,0.77308,57.58,1.226
horizontal,3,3,0.60121,66.79,1.26
horizontal,3,4,0.46314,77.39,1.203
horizontal,3,5,0.34019,87.91,1.217
diagonal,4,1,0.29614,86.75,1.22
diagonal,4,2,0.21452,93.89,1.208
diagonal,4,3,0.16246,96.84,1.247
diagonal,4,4,0.12755,97.3,1.231
diagonal,4,5,0.10197,97.64,1.235
circle,5,1,1.53319,51.51,1.223
circle,5,2,1.17382,54.36,1.401
circle,5,3,0.94313,56.22,1.388
circle,5,4,0.77886,57.35,1.363
circle,5,5,0.66637,58.01,1.26
