task,forgetting_phase1,forgetting_phase2,delta
xor_quadrant,49.05,6.95,-42.1
vertical,51.0,26.3,-24.7
horizontal,48.75,17.1,-31.65
diagonal,50.65,19.4,-31.25
circle,0.0,0.0,0.0
