task,initial_accuracy,best_accuracy,final_accuracy,forgetting
xor_quadrant,75.55,75.55,68.6,6.95
vertical,99.3,99.3,73.0,26.3
horizontal,91.8,91.8,74.7,17.1
diagonal,98.15,98.15,78.75,19.4
circle,57.2,57.2,57.2,0.0
