,after_t1,after_t2,after_t3,after_t4,after_t5
xor_quadrant,75.55,49.2,50.7,49.1,68.6
vertical,,99.3,56.9,74.1,73.0
horizontal,,,91.8,75.1,74.7
diagonal,,,,98.15,78.75
circle,,,,,57.2
