task,forgetting_phase1,forgetting_phase2,delta
diagonal,49.05,46.1,-2.95
vertical,51.0,47.0,-4.0
xor_quadrant,48.75,0.0,-48.75
horizontal,50.65,46.4,-4.25
circle,0.0,0.0,0.0
