,after_t1,after_t2,after_t3,after_t4,after_t5
vertical,97.45,48.9,55.6,74.45,71.55
circle,,77.4,51.1,51.45,57.75
horizontal,,,94.0,75.45,75.35
diagonal,,,,97.65,79.05
xor_quadrant,,,,,68.25
