task,forgetting_phase1,forgetting_phase2,delta
vertical,49.05,25.9,-23.15
circle,51.0,19.65,-31.35
horizontal,48.75,18.65,-30.1
diagonal,50.65,18.6,-32.05
xor_quadrant,0.0,0.0,0.0
