task,initial_accuracy,best_accuracy,final_accuracy,forgetting
horizontal,99.45,99.45,70.85,28.6
vertical,93.35,93.35,74.1,19.25
circle,77.15,77.15,55.5,21.65
diagonal,98.9,98.9,77.6,21.3
xor_quadrant,66.3,66.3,66.3,0.0
