task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,28.6,-20.45
vertical,51.0,19.25,-31.75
circle,48.75,21.65,-27.1
diagonal,50.65,21.3,-29.35
xor_quadrant,0.0,0.0,0.0
