,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.45,57.5,50.3,75.05,70.85
vertical,,93.35,49.15,75.8,74.1
circle,,,77.15,50.6,55.5
diagonal,,,,98.9,77.6
xor_quadrant,,,,,66.3
