task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.70519,50.29,1.98
horizontal,1,2,0.65053,70.77,1.381
horizontal,1,3,0.5871,89.74,1.261
horizontal,1,4,0.47661,93.11,1.286
horizontal,1,5,0.31585,97.51,1.261
vertical,2,1,0.80925,52.39,1.372
vertical,2,2,0.64042,58.72,1.367
vertical,2,3,0.50505,71.34,1.3
vertical,2,4,0.39254,84.23,1.324
vertical,2,5,0.29077,91.12,1.407
circle,3,1,0.90137,51.63,1.487
circle,3,2,0.67568,55.83,1.451
circle,3,3,0.59418,67.01,1.414
circle,3,4,0.56237,74.62,1.399
circle,3,5,0.54418,75.67,1.376
diagonal,4,1,0.54088,73.87,1.351
diagonal,4,2,0.39944,88.14,1.396
diagonal,4,3,0.29482,91.69,1.522
diagonal,4,4,0.21845,95.1,1.5
diagonal,4,5,0.16125,97.7,1.481
xor_quadrant,5,1,1.2834,59.69,1.709
xor_quadrant,5,2,0.88246,66.79,1.616
xor_quadrant,5,3,0.70912,66.36,1.494
xor_quadrant,5,4,0.65165,65.41,1.503
xor_quadrant,5,5,0.62695,65.53,1.353
