,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,97.1,59.6,50.85,76.95,71.7
vertical,,89.7,50.45,72.45,73.9
circle,,,75.5,51.3,58.25
diagonal,,,,97.2,74.25
xor_quadrant,,,,,70.05
