task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,25.4,-23.65
vertical,51.0,15.8,-35.2
circle,48.75,17.25,-31.5
diagonal,50.65,22.95,-27.7
xor_quadrant,0.0,0.0,0.0
