task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,49.3,0.25
xor_quadrant,51.0,2.2,-48.8
circle,48.75,25.8,-22.95
diagonal,50.65,20.25,-30.4
vertical,0.0,0.0,0.0
