,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.4,89.0,51.1,79.65,50.1
xor_quadrant,,51.5,50.8,50.15,49.3
circle,,,74.9,52.35,49.1
diagonal,,,,95.3,75.05
vertical,,,,,99.1
