task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,24.2,-24.85
vertical,51.0,3.5,-47.5
circle,48.75,13.2,-35.55
diagonal,50.65,19.5,-31.15
xor_quadrant,0.0,0.0,0.0
