task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.63888,53.9,2.029
horizontal,1,2,0.56205,79.16,1.345
horizontal,1,3,0.46802,89.92,1.489
horizontal,1,4,0.35241,94.08,1.405
horizontal,1,5,0.23721,97.5,1.447
vertical,2,1,0.94072,52.97,1.471
vertical,2,2,0.80952,55.78,1.481
vertical,2,3,0.69465,59.69,1.539
vertical,2,4,0.59401,65.7,1.57
vertical,2,5,0.51128,72.34,1.459
circle,3,1,0.82276,49.48,1.426
circle,3,2,0.73289,53.3,1.423
circle,3,3,0.66762,55.57,1.445
circle,3,4,0.61929,60.02,1.415
circle,3,5,0.58763,68.57,1.454
diagonal,4,1,0.53945,66.07,1.467
diagonal,4,2,0.44021,88.04,1.43
diagonal,4,3,0.36496,93.33,1.488
diagonal,4,4,0.30106,94.51,1.437
diagonal,4,5,0.2455,96.0,1.422
xor_quadrant,5,1,0.99379,58.46,1.416
xor_quadrant,5,2,0.84818,66.54,1.425
xor_quadrant,5,3,0.75774,68.33,1.431
xor_quadrant,5,4,0.68121,68.8,1.411
xor_quadrant,5,5,0.62458,69.5,1.518
