,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,98.5,74.1,54.2,76.3,74.3
vertical,,76.8,53.5,74.6,73.3
circle,,,74.4,55.8,61.2
diagonal,,,,97.4,77.9
xor_quadrant,,,,,69.5
