task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,23.65,-25.4
vertical,51.0,14.35,-36.65
circle,48.75,15.9,-32.85
diagonal,50.65,19.9,-30.75
xor_quadrant,0.0,0.0,0.0
