,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,98.9,62.4,50.15,75.05,75.25
vertical,,86.55,51.1,74.2,72.2
circle,,,75.7,53.2,59.8
diagonal,,,,97.05,77.15
xor_quadrant,,,,,69.95
