,after_t1,after_t2,after_t3,after_t4,after_t5
vertical,98.2,50.45,50.05,74.5,70.35
circle,,75.5,50.6,51.25,56.0
horizontal,,,99.25,75.0,71.65
diagonal,,,,98.55,72.9
xor_quadrant,,,,,67.8
