task,forgetting_phase1,forgetting_phase2,delta
vertical,49.05,27.85,-21.2
circle,51.0,19.5,-31.5
horizontal,48.75,27.6,-21.15
diagonal,50.65,25.65,-25.0
xor_quadrant,0.0,0.0,0.0
