task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,19.45,-29.6
vertical,51.0,17.3,-33.7
circle,48.75,18.75,-30.0
diagonal,50.65,19.05,-31.6
xor_quadrant,0.0,0.0,0.0
