task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.69635,54.49,1.441
horizontal,1,2,0.64788,70.34,1.162
horizontal,1,3,0.58126,78.28,1.183
horizontal,1,4,0.47997,84.76,1.142
horizontal,1,5,0.33605,91.12,1.172
vertical,2,1,0.7454,57.53,1.228
vertical,2,2,0.62769,61.6,1.201
vertical,2,3,0.52908,69.17,1.242
vertical,2,4,0.42515,79.55,1.233
vertical,2,5,0.31239,88.53,1.269
circle,3,1,0.94277,51.31,1.325
circle,3,2,0.71481,56.15,1.937
circle,3,3,0.62519,65.23,2.021
circle,3,4,0.58165,73.63,1.553
circle,3,5,0.56002,76.21,1.433
diagonal,4,1,0.59127,68.64,1.307
diagonal,4,2,0.46256,90.14,1.498
diagonal,4,3,0.35754,92.3,1.266
diagonal,4,4,0.26234,94.59,1.251
diagonal,4,5,0.18853,97.24,1.292
xor_quadrant,5,1,1.10892,59.48,1.267
xor_quadrant,5,2,0.79143,67.06,1.314
xor_quadrant,5,3,0.68425,67.57,1.261
xor_quadrant,5,4,0.64456,68.07,1.288
xor_quadrant,5,5,0.62117,69.13,1.413
