,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,93.25,58.8,46.95,75.65,73.8
vertical,,92.3,48.45,75.45,75.0
circle,,,75.85,49.95,57.1
diagonal,,,,98.8,79.75
xor_quadrant,,,,,70.75
