,after_t1,after_t2,after_t3,after_t4,after_t5
circle,77.4,50.75,51.6,48.0,55.7
vertical,,97.35,75.8,51.4,66.3
diagonal,,,97.3,77.3,81.3
horizontal,,,,98.6,80.8
xor_quadrant,,,,,66.2
