task,forgetting_phase1,forgetting_phase2,delta
xor_quadrant,49.05,25.9,-23.15
vertical,51.0,49.3,-1.7
horizontal,48.75,39.8,-8.95
diagonal,50.65,48.45,-2.2
circle,0.0,0.0,0.0
