task,phase,epoch,train_loss,train_accuracy,epoch_seconds
xor_quadrant,1,1,0.6961,50.15,1.464
xor_quadrant,1,2,0.68253,56.37,1.227
xor_quadrant,1,3,0.66919,61.48,1.233
xor_quadrant,1,4,0.64574,67.52,1.186
xor_quadrant,1,5,0.60124,72.79,1.241
vertical,2,1,0.71151,57.07,1.24
vertical,2,2,0.52724,82.94,1.349
vertical,2,3,0.35619,95.03,1.267
vertical,2,4,0.22006,98.38,1.228
vertical,2,5,0.12744,99.06,1.254
horizontal,3,1,1.36511,51.55,1.282
horizontal,3,2,0.92865,54.24,1.289
horizontal,3,3,0.66488,61.53,1.289
horizontal,3,4,0.49648,74.53,1.297
horizontal,3,5,0.35739,86.79,1.243
diagonal,4,1,0.28574,87.54,1.267
diagonal,4,2,0.19382,94.94,1.276
diagonal,4,3,0.13788,96.99,1.256
diagonal,4,4,0.10383,97.69,1.235
diagonal,4,5,0.07918,98.16,1.222
circle,5,1,1.63152,50.49,1.3
circle,5,2,1.07951,52.9,1.446
circle,5,3,0.79439,54.57,1.538
circle,5,4,0.66099,55.92,1.328
circle,5,5,0.59178,67.55,1.252
