task,forgetting_phase1,forgetting_phase2,delta
xor_quadrant,49.05,16.5,-32.55
vertical,51.0,49.05,-1.95
horizontal,48.75,42.6,-6.15
diagonal,50.65,49.0,-1.65
circle,0.0,0.0,0.0
