,after_t1,after_t2,after_t3,after_t4,after_t5
vertical,100.0,48.95,73.9,50.15,48.8
xor_quadrant,,99.15,50.2,48.05,50.4
diagonal,,,98.65,52.5,74.65
circle,,,,96.45,50.2
horizontal,,,,,99.3
