,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,97.45,58.55,50.85,76.75,70.25
vertical,,90.65,50.45,72.75,75.35
circle,,,75.5,50.8,57.2
diagonal,,,,97.6,75.4
xor_quadrant,,,,,68.9
