task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,27.2,-21.85
vertical,51.0,15.3,-35.7
circle,48.75,18.3,-30.45
diagonal,50.65,22.2,-28.45
xor_quadrant,0.0,0.0,0.0
