task,initial_accuracy,best_accuracy,final_accuracy,forgetting
vertical,98.4,98.4,49.3,49.1
xor_quadrant,58.15,58.15,50.3,7.85
diagonal,98.9,98.9,75.15,23.75
circle,74.9,74.9,50.8,24.1
horizontal,99.3,99.3,99.3,0.0
