task,forgetting_phase1,forgetting_phase2,delta
vertical,49.05,49.1,0.05
xor_quadrant,51.0,7.85,-43.15
diagonal,48.75,23.75,-25.0
circle,50.65,24.1,-26.55
horizontal,0.0,0.0,0.0
