,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.55,63.9,51.1,75.35,73.55
vertical,,87.0,50.4,75.55,72.55
circle,,,77.5,53.05,60.45
diagonal,,,,99.85,76.75
xor_quadrant,,,,,69.15
