task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.60432,66.14,1.445
horizontal,1,2,0.47939,87.18,1.077
horizontal,1,3,0.33481,91.95,1.259
horizontal,1,4,0.20206,96.29,1.089
horizontal,1,5,0.11778,98.45,1.166
vertical,2,1,1.29476,52.25,1.269
vertical,2,2,0.92296,54.85,1.297
vertical,2,3,0.69711,59.21,1.248
vertical,2,4,0.55408,66.93,1.23
vertical,2,5,0.43829,79.09,1.283
circle,3,1,0.78623,52.03,1.252
circle,3,2,0.63945,56.66,1.207
circle,3,3,0.576,71.53,1.153
circle,3,4,0.54608,75.68,1.187
circle,3,5,0.52924,75.68,1.197
diagonal,4,1,0.53422,71.87,1.234
diagonal,4,2,0.37113,89.92,1.29
diagonal,4,3,0.27001,92.91,1.22
diagonal,4,4,0.18857,96.87,1.207
diagonal,4,5,0.12842,99.24,1.215
xor_quadrant,5,1,1.22773,57.03,1.26
xor_quadrant,5,2,0.79162,66.25,1.231
xor_quadrant,5,3,0.6543,67.9,1.218
xor_quadrant,5,4,0.61356,68.55,1.17
xor_quadrant,5,5,0.5917,69.05,1.199
