task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,26.0,-23.05
vertical,51.0,14.45,-36.55
circle,48.75,17.05,-31.7
diagonal,50.65,23.1,-27.55
xor_quadrant,0.0,0.0,0.0
