,after_t1,after_t2,after_t3,after_t4,after_t5
xor_quadrant,77.0,49.2,49.1,50.8,51.35
diagonal,,98.85,74.55,49.95,75.2
vertical,,,99.4,50.0,49.45
circle,,,,74.9,52.15
horizontal,,,,,97.75
