task,forgetting_phase1,forgetting_phase2,delta
xor_quadrant,49.05,25.65,-23.4
diagonal,51.0,23.65,-27.35
vertical,48.75,49.95,1.2
circle,50.65,22.75,-27.9
horizontal,0.0,0.0,0.0
