,after_t1,after_t2,after_t3,after_t4,after_t5
circle,98.8,50.15,48.9,48.2,49.65
vertical,,98.75,73.7,50.2,49.75
diagonal,,,99.4,76.1,49.95
horizontal,,,,99.5,50.65
xor_quadrant,,,,,98.55
