task,forgetting_phase1,forgetting_phase2,delta
diagonal,49.05,48.55,-0.5
vertical,51.0,48.7,-2.3
xor_quadrant,48.75,2.3,-46.45
horizontal,50.65,47.75,-2.9
circle,0.0,0.0,0.0
